NameFunction: get_articles --> FuncfArguments: ('https://habr.com/ru/all/', 'https://habr.com', {'Фото', 'Браузеры', 'Дизайн', 'Биология', 'Python', 'Видеотехника', 'Web'}) and {}  -->  TimeCallFunction: 2022-08-10 17:14:45,003
NameFunction: get_articles --> FuncfArguments: ('https://habr.com/ru/all/', 'https://habr.com', {'Фото', 'Браузеры', 'Дизайн', 'Биология', 'Python', 'Видеотехника', 'Web'}) and {}  -->  TimeCallFunction: 2022-08-10 17:14:46,005
NameFunction: get_articles --> FuncfArguments: ('https://habr.com/ru/all/', 'https://habr.com', {'Фото', 'Браузеры', 'Дизайн', 'Биология', 'Python', 'Видеотехника', 'Web'}) and {}  -->  TimeCallFunction: 2022-08-10 17:14:47,007
NameFunction: get_articles --> FuncfArguments: ('https://habr.com/ru/all/', 'https://habr.com', {'Дизайн', 'Web', 'Фото', 'Python', 'Браузеры', 'Видеотехника', 'Биология'}) and {}  -->  TimeCallFunction: 2022-08-10 17:14:54,419
NameFunction: get_articles --> FuncfArguments: ('https://habr.com/ru/all/', 'https://habr.com', {'Дизайн', 'Web', 'Фото', 'Python', 'Браузеры', 'Видеотехника', 'Биология'}) and {}  -->  TimeCallFunction: 2022-08-10 17:14:55,420
NameFunction: get_articles --> FuncfArguments: ('https://habr.com/ru/all/', 'https://habr.com', {'Дизайн', 'Web', 'Фото', 'Python', 'Браузеры', 'Видеотехника', 'Биология'}) and {}  -->  TimeCallFunction: 2022-08-10 17:14:56,422
NameFunction: get_articles --> FuncfArguments: ('https://habr.com/ru/all/', 'https://habr.com', {'Видеотехника', 'Дизайн', 'Браузеры', 'Python', 'Биология', 'Web', 'Фото'}) and {}  -->  TimeCallFunction: 2022-08-10 17:21:18,070
NameFunction: get_articles --> FuncfArguments: ('https://habr.com/ru/all/', 'https://habr.com', {'Видеотехника', 'Дизайн', 'Браузеры', 'Python', 'Биология', 'Web', 'Фото'}) and {}  -->  TimeCallFunction: 2022-08-10 17:21:19,074
NameFunction: get_articles --> FuncfArguments: ('https://habr.com/ru/all/', 'https://habr.com', {'Видеотехника', 'Дизайн', 'Браузеры', 'Python', 'Биология', 'Web', 'Фото'}) and {}  -->  TimeCallFunction: 2022-08-10 17:21:20,076
NameFunction: get_articles --> FuncfArguments: ('https://habr.com/ru/all/', 'https://habr.com', {'Биология', 'Фото', 'Python', 'Web', 'Дизайн', 'Браузеры', 'Видеотехника'}) and {}  -->  TimeCallFunction: 2022-08-10 17:22:41,538
NameFunction: get_articles --> FuncfArguments: ('https://habr.com/ru/all/', 'https://habr.com', {'Биология', 'Фото', 'Python', 'Web', 'Дизайн', 'Браузеры', 'Видеотехника'}) and {}  -->  TimeCallFunction: 2022-08-10 17:22:42,542
NameFunction: get_articles --> FuncfArguments: ('https://habr.com/ru/all/', 'https://habr.com', {'Биология', 'Фото', 'Python', 'Web', 'Дизайн', 'Браузеры', 'Видеотехника'}) and {}  -->  TimeCallFunction: 2022-08-10 17:22:43,545
